symbol,period_date,as_of_date,revenue,gross_profit,operating_income,pretax_income,tax_expense,net_income_parent,eps,current_assets,current_liabilities,assets,liabilities,equity,cash,short_borrowings,long_borrowings,bonds_payable,tax_rate,nopat,invested_capital_proxy,roic_proxy,roe,roa,debt_to_equity,gross_margin,operating_margin,net_margin,revenue_growth,pe,pb,eva_like_score
1101.TW,2020-03-31,2020-05-15,21976200000.0,5780711000.0,4460154000.0,4733876000.0,1252757000.0,2999822000.0,0.55,98082786000.0,64175520000.0,359238626000.0,151900503000.0,207338123000.0,33747714000.0,31805225000.0,25778768000.0,35792756000.0,0.2646366318002415,3279833868.1296253,295063106000.0,0.011115703052789,0.0144682606198764,0.0083504995924352,0.732622157479452,0.2630441568606037,0.2029538318726622,0.1365032171166989,,,,50.71176399932919
1101.TW,2020-06-30,2020-08-14,30463627000.0,10879568000.0,9324608000.0,10805714000.0,2161148000.0,7934801000.0,1.39,125133183000.0,85597499000.0,384500092000.0,188038858000.0,196461234000.0,59005748000.0,37941935000.0,27190805000.0,55846464000.0,0.2000004812268768,7459681912.748014,298902593000.0,0.0249568992957783,0.0403886346351667,0.0206366686643081,0.9571295780418442,0.3571330491933872,0.3060898822060813,0.2604680329101981,,,,71.79923167414245
1101.TW,2020-09-30,2020-11-14,29808661000.0,10553707000.0,9052054000.0,10677866000.0,2097249000.0,7472614000.0,1.3,114553490000.0,70382185000.0,379406048000.0,171832451000.0,207573597000.0,44312180000.0,33636384000.0,26250646000.0,55851873000.0,0.1964108746073419,7274132156.867112,309023863000.0,0.0235390629262411,0.0359998290148626,0.0196955584640548,0.8278145847229308,0.35404834185608,0.3036719428625123,0.2506860002869636,,,,70.42264288971127
1101.TW,2020-12-31,2021-03-31,32118759000.0,10373594000.0,8505001000.0,9135850000.0,1850759000.0,6692072000.0,1.17,124309171000.0,72103708000.0,389506236000.0,170676183000.0,218830053000.0,51433522000.0,34675454000.0,24998481000.0,53897370000.0,0.2025820257556768,6782040668.365944,317402528000.0,0.0213673177434993,0.0305811377745267,0.0171809110650541,0.779948552130543,0.3229761772551673,0.2647985558844288,0.2083540027184736,,,,65.80767117361971
1101.TW,2021-03-31,2021-05-15,22037652000.0,5524840000.0,4207576000.0,4855073000.0,1113682000.0,3318974000.0,0.57,130708958000.0,74652169000.0,390072917000.0,164442903000.0,225630014000.0,58958539000.0,34341574000.0,20500521000.0,49555822000.0,0.2293852224261097,3242420243.365239,315420748000.0,0.0102796669652347,0.0147098071801741,0.0085085989192118,0.7288166147966467,0.2507000292045632,0.1909266921902569,0.1506047014446003,0.0027962978130886,,,45.75454643356638
1101.TW,2021-06-30,2021-08-14,27985712000.0,8608836000.0,7043809000.0,9798708000.0,2054650000.0,7533092000.0,1.24,133913872000.0,71317037000.0,387805597000.0,157277019000.0,230528578000.0,63835177000.0,33348861000.0,21578225000.0,44569541000.0,0.2096858075574861,5566822221.554312,316488560000.0,0.0175893315750632,0.0326774756750549,0.0194249182019928,0.6822452138667163,0.3076154003157039,0.2516930425068335,0.2691763568495238,-0.0813401175112864,,,57.05661816498665
1101.TW,2021-09-30,2021-11-14,26881432000.0,5175796000.0,3856027000.0,4691780000.0,990727000.0,3984484000.0,0.59,135301674000.0,73505341000.0,401380637000.0,180459948000.0,220920689000.0,59958809000.0,35643323000.0,18610026000.0,61114332000.0,0.2111622880868242,3041779515.755428,327875296000.0,0.0092772451992096,0.0180358119379213,0.0099269462268554,0.8168539977711187,0.1925416770951785,0.1434457435154496,0.1482243951884706,-0.0982006202828097,,,36.45089296249483
1101.TW,2021-12-31,2022-03-31,30136656000.0,7340627000.0,4679063000.0,6732523000.0,1771328000.0,5419816000.0,0.89,169353435000.0,88687968000.0,441684559000.0,216029886000.0,225654673000.0,91121942000.0,48440514000.0,16695836000.0,81526445000.0,0.2631001780461797,3448000691.610708,352996591000.0,0.0097678016715201,0.0240181864082203,0.0122707844083813,0.9573472737256364,0.2435780200696454,0.1552615193935252,0.1798413201517779,-0.0617116931572605,,,42.39118761023172
1101.TW,2022-03-31,2022-05-15,22973461000.0,1996361000.0,207623000.0,1172111000.0,315605000.0,1204144000.0,0.2,181032587000.0,109658131000.0,452838271000.0,217080516000.0,235757755000.0,98040416000.0,49691467000.0,8455784000.0,81616287000.0,0.2692620408817936,151718007.28599936,343180140000.0,0.0004420943685319,0.0051075477877705,0.0026591038724286,0.9207778382518106,0.086898573967588,0.0090375150701063,0.0524145665296143,0.0424640973548362,,,18.4253718260586
1101.TW,2022-06-30,2022-08-14,25177833000.0,110298000.0,-2007679000.0,-434750000.0,505965000.0,204046000.0,-0.02,182214459000.0,86861356000.0,452274209000.0,233315278000.0,218958931000.0,100497555000.0,48804574000.0,24965582000.0,89442081000.0,0.0,-2007679000.0,365412853000.0,-0.0054942758130075,0.0009318916523208,0.0004511555068575,1.065566391534858,0.0043807582646211,-0.0797399442596986,0.0081041922869215,-0.1003325911450814,,,10.616343636762709
